fold,held_out,calibrated_on,n_test_seizure,auprc_baseline,auprc_augmented,auprc_delta,recall_baseline,recall_augmented,fp_per_hour_baseline,fp_per_hour_augmented
1,chb01_03.edf,chb01_15.edf,21,0.8991962520634451,0.849502842332804,-0.04969340973064107,0.7142857142857143,0.5714285714285714,2.001111728738188,0.0
2,chb01_04.edf,chb01_16.edf,15,0.9460130718954247,0.9612440191387559,0.015230947243331183,0.9333333333333333,0.8666666666666667,4.002223457476376,4.002223457476376
3,chb01_15.edf,chb01_18.edf,21,0.6916468402547302,0.7416961767017305,0.05004933644700027,0.7142857142857143,0.23809523809523808,16.008893829905503,1.000555864369094
4,chb01_16.edf,chb01_21.edf,27,0.9314689505082208,0.9390281747157824,0.00755922420756161,0.8518518518518519,0.8888888888888888,1.000555864369094,1.000555864369094
5,chb01_18.edf,chb01_26.edf,46,0.9844606482741106,0.9935470145342652,0.009086366260154577,0.8043478260869565,0.9347826086956522,0.0,0.0
6,chb01_21.edf,chb01_03.edf,48,0.9788873568887696,0.9805851063829789,0.0016977494942093108,0.9791666666666666,0.9791666666666666,13.007226236798221,19.010561423012785
7,chb01_26.edf,chb01_04.edf,52,0.98033519291934,0.9778099467011285,-0.0025252462182114854,0.9230769230769231,0.6538461538461539,0.0,0.0
