fold,held_out,n_test_windows,n_test_seizure,calibrated_on,tp,fp,fn,tn,auprc,threshold,recall,precision,f1,fp_per_hour,recall_at_half,f1_at_half,fp_per_hour_at_half
1,chb01_03.edf,1799,21,chb01_15.edf,14,0,7,1778,0.9076587078417953,0.24845553800764503,0.6666666666666666,1.0,0.8,0.0,0.47619047619047616,0.6451612903225806,0.0
2,chb01_04.edf,1799,15,chb01_16.edf,14,4,1,1780,0.9418123990704634,0.9527683712513868,0.9333333333333333,0.7777777777777778,0.8484848484848485,4.002223457476376,0.9333333333333333,0.7777777777777778,7.003891050583658
3,chb01_15.edf,1799,21,chb01_18.edf,17,23,4,1755,0.5661249199163466,0.0916296924222363,0.8095238095238095,0.425,0.5573770491803278,23.01278488048916,0.7142857142857143,0.6000000000000001,14.007782101167315
4,chb01_16.edf,1799,27,chb01_21.edf,24,3,3,1769,0.9366551107148982,0.4849738120463834,0.8888888888888888,0.8888888888888888,0.8888888888888888,3.001667593107282,0.8888888888888888,0.8888888888888888,3.001667593107282
5,chb01_18.edf,1799,46,chb01_26.edf,38,0,8,1753,0.985646707902617,0.5594470251505124,0.8260869565217391,1.0,0.9047619047619047,0.0,0.8478260869565217,0.9176470588235294,0.0
6,chb01_21.edf,1799,48,chb01_03.edf,47,16,1,1735,0.9793312408896414,0.06675644911863446,0.9791666666666666,0.746031746031746,0.846846846846847,16.008893829905503,0.9583333333333334,0.968421052631579,1.000555864369094
7,chb01_26.edf,1161,52,chb01_04.edf,48,0,4,1109,0.9657550174673714,0.2096851629690004,0.9230769230769231,1.0,0.9600000000000001,0.0,0.9038461538461539,0.9494949494949495,0.0
